"BehaviorSpace results (NetLogo 6.0.2)"
"FireModel-Lab07.nlogo"
"fireExp1"
"03/03/2018 17:04:08:667 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","density","extinction","ignition","[step]","percent-burned"
"7","80","0.2","0.75","0","0.0031029881776150434"
"5","80","0.2","0.75","0","0.003096550442806713"
"6","80","0.2","0.75","0","0.00308461087633795"
"2","80","0.2","0.75","0","0.0031110004977600797"
"4","80","0.2","0.75","0","0.0031072305254326816"
"3","80","0.2","0.75","0","0.0030845157310302285"
"1","80","0.2","0.75","0","0.003088040020998672"
"8","80","0.2","0.75","0","0.0030953044231900205"
"5","80","0.2","0.75","1","0.00928965132842014"
"6","80","0.2","0.75","1","0.0123384435053518"
"2","80","0.2","0.75","1","0.00933300149328024"
"3","80","0.2","0.75","1","0.009253547193090685"
"7","80","0.2","0.75","1","0.0031029881776150434"
"4","80","0.2","0.75","1","0.012428922101730727"
"8","80","0.2","0.75","1","0.009285913269570062"
"6","80","0.2","0.75","2","0.0246768870107036"
"1","80","0.2","0.75","1","0.012352160083994689"
"2","80","0.2","0.75","2","0.02177700348432056"
"5","80","0.2","0.75","2","0.01857930265684028"
"3","80","0.2","0.75","2","0.009253547193090685"
"7","80","0.2","0.75","2","0.0031029881776150434"
"6","80","0.2","0.75","3","0.0370153305160554"
"1","80","0.2","0.75","2","0.030880400209986718"
"4","80","0.2","0.75","2","0.021750613678028774"
"2","80","0.2","0.75","3","0.03733200597312096"
"5","80","0.2","0.75","3","0.030965504428067135"
"8","80","0.2","0.75","2","0.02785773980871019"
"7","80","0.2","0.75","3","0.006205976355230087"
"3","80","0.2","0.75","3","0.009253547193090685"
"2","80","0.2","0.75","4","0.05910900945744151"
"6","80","0.2","0.75","4","0.055522995774083095"
"7","80","0.2","0.75","4","0.00930896453284513"
"1","80","0.2","0.75","3","0.05249668035697743"
"7","80","0.2","0.75","5","0.00930896453284513"
"8","80","0.2","0.75","3","0.04333426192466029"
"5","80","0.2","0.75","4","0.04954480708490741"
"4","80","0.2","0.75","3","0.0341795357797595"
"1","80","0.2","0.75","4","0.07102492048296946"
"2","80","0.2","0.75","5","0.07777501244400199"
"3","80","0.2","0.75","4","0.009253547193090685"
"6","80","0.2","0.75","5","0.07094605015577285"
"8","80","0.2","0.75","4","0.05262017519423036"
"2","80","0.2","0.75","6","0.0933300149328024"
"4","80","0.2","0.75","4","0.049715688406922906"
"3","80","0.2","0.75","5","0.009253547193090685"
"5","80","0.2","0.75","5","0.06502755929894098"
"2","80","0.2","0.75","7","0.09955201592832255"
"7","80","0.2","0.75","6","0.00930896453284513"
"6","80","0.2","0.75","6","0.0863691045374626"
"2","80","0.2","0.75","8","0.11821801891488302"
"3","80","0.2","0.75","6","0.009253547193090685"
"6","80","0.2","0.75","7","0.0987075480428144"
"2","80","0.2","0.75","9","0.14310602289696367"
"3","80","0.2","0.75","7","0.009253547193090685"
"5","80","0.2","0.75","6","0.08670341239858798"
"7","80","0.2","0.75","7","0.00930896453284513"
"6","80","0.2","0.75","8","0.1172152133008421"
"6","80","0.2","0.75","9","0.1295536568061939"
"7","80","0.2","0.75","8","0.00930896453284513"
"3","80","0.2","0.75","8","0.009253547193090685"
"1","80","0.2","0.75","5","0.09881728067195751"
"7","80","0.2","0.75","9","0.00930896453284513"
"5","80","0.2","0.75","7","0.11766891682665512"
"8","80","0.2","0.75","5","0.06500139288699043"
"6","80","0.2","0.75","10","0.13880748943520774"
"4","80","0.2","0.75","5","0.06525184103408632"
"7","80","0.2","0.75","10","0.00930896453284513"
"5","80","0.2","0.75","8","0.14553787081191552"
"6","80","0.2","0.75","11","0.1542305438168975"
"7","80","0.2","0.75","11","0.00930896453284513"
"4","80","0.2","0.75","6","0.08078799366124972"
"5","80","0.2","0.75","9","0.17959992568278937"
"6","80","0.2","0.75","12","0.16656898732224928"
"1","80","0.2","0.75","6","0.13896180094494023"
"7","80","0.2","0.75","12","0.00930896453284513"
"8","80","0.2","0.75","6","0.07738261057975052"
"7","80","0.2","0.75","13","0.00930896453284513"
"5","80","0.2","0.75","10","0.2074688796680498"
"6","80","0.2","0.75","13","0.18199204170393904"
"8","80","0.2","0.75","7","0.09285913269570063"
"1","80","0.2","0.75","7","0.16984220115492699"
"7","80","0.2","0.75","14","0.00930896453284513"
"2","80","0.2","0.75","10","0.17110502737680439"
"5","80","0.2","0.75","11","0.22604818232489007"
"6","80","0.2","0.75","14","0.2159227613436565"
"3","80","0.2","0.75","9","0.009253547193090685"
"8","80","0.2","0.75","8","0.10214504596527069"
"6","80","0.2","0.75","15","0.23134581572534624"
"1","80","0.2","0.75","8","0.188370441280919"
"5","80","0.2","0.75","12","0.2539171363101505"
"8","80","0.2","0.75","9","0.10524035038846072"
"4","80","0.2","0.75","7","0.09943137681384581"
"6","80","0.2","0.75","16","0.2529380918597119"
"3","80","0.2","0.75","10","0.009253547193090685"
"2","80","0.2","0.75","11","0.1991040318566451"
"1","80","0.2","0.75","9","0.21925084149090573"
"8","80","0.2","0.75","10","0.10524035038846072"
"6","80","0.2","0.75","17","0.2837842006230914"
"7","80","0.2","0.75","15","0.00930896453284513"
"2","80","0.2","0.75","12","0.23643603782976605"
"5","80","0.2","0.75","13","0.29107574162383104"
"3","80","0.2","0.75","11","0.009253547193090685"
"7","80","0.2","0.75","16","0.00930896453284513"
"4","80","0.2","0.75","8","0.1180747599664419"
"2","80","0.2","0.75","13","0.2613240418118467"
"7","80","0.2","0.75","17","0.00930896453284513"
"3","80","0.2","0.75","12","0.009253547193090685"
"5","80","0.2","0.75","14","0.33442744782312506"
"2","80","0.2","0.75","14","0.28310104529616725"
"7","80","0.2","0.75","18","0.00930896453284513"
"3","80","0.2","0.75","13","0.009253547193090685"
"5","80","0.2","0.75","15","0.38397225490803244"
"8","80","0.2","0.75","11","0.10524035038846072"
"4","80","0.2","0.75","9","0.15846875679706676"
"7","80","0.2","0.75","19","0.00930896453284513"
"6","80","0.2","0.75","18","0.30537647675745705"
"3","80","0.2","0.75","14","0.009253547193090685"
"5","80","0.2","0.75","16","0.41803430977890627"
"8","80","0.2","0.75","12","0.10524035038846072"
"1","80","0.2","0.75","10","0.24704320167989374"
"2","80","0.2","0.75","15","0.3079890492782479"
"6","80","0.2","0.75","19","0.33313797464449857"
"4","80","0.2","0.75","10","0.19264829257682628"
"8","80","0.2","0.75","13","0.10524035038846072"
"1","80","0.2","0.75","11","0.28409968193187785"
"2","80","0.2","0.75","16","0.351543056246889"
"4","80","0.2","0.75","11","0.2361495199328838"
"6","80","0.2","0.75","20","0.36089947253154014"
"3","80","0.2","0.75","15","0.009253547193090685"
"8","80","0.2","0.75","14","0.10524035038846072"
"1","80","0.2","0.75","12","0.30880400209986725"
"6","80","0.2","0.75","21","0.38557635954224373"
"2","80","0.2","0.75","17","0.3982080637132902"
"4","80","0.2","0.75","12","0.2858652083398067"
"7","80","0.2","0.75","20","0.00930896453284513"
"3","80","0.2","0.75","16","0.009253547193090685"
"6","80","0.2","0.75","22","0.4071686356766094"
"7","80","0.2","0.75","21","0.00930896453284513"
"4","80","0.2","0.75","13","0.3324736662212969"
"5","80","0.2","0.75","17","0.45828946553539357"
"3","80","0.2","0.75","17","0.009253547193090685"
"8","80","0.2","0.75","15","0.10524035038846072"
"2","80","0.2","0.75","18","0.4510950721752115"
"7","80","0.2","0.75","22","0.00930896453284513"
"4","80","0.2","0.75","14","0.39461827672995053"
"5","80","0.2","0.75","18","0.5047377221774942"
"3","80","0.2","0.75","18","0.009253547193090685"
"8","80","0.2","0.75","16","0.10524035038846072"
"7","80","0.2","0.75","23","0.00930896453284513"
"6","80","0.2","0.75","23","0.4287609118109751"
"4","80","0.2","0.75","15","0.45676288723860425"
"5","80","0.2","0.75","19","0.5542825292624016"
"2","80","0.2","0.75","19","0.49776007964161273"
"3","80","0.2","0.75","19","0.009253547193090685"
"7","80","0.2","0.75","24","0.00930896453284513"
