"BehaviorSpace results (NetLogo 6.0.2)"
"fireModel1.nlogo"
"exp1"
"01/10/2020 14:38:45:166 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","density","extinction","ignition","[step]","percent-burned"
"8","67","0.1","0.75","23","0.007424456158586383"
"5","67","0.1","0.75","103","1.891104803332473"
"7","67","0.1","0.75","373","38.3504622978598"
"6","67","0.1","0.75","408","37.29392544185356"
"3","67","0.1","0.75","429","31.279813630144588"
"2","67","0.1","0.75","593","30.895566357342762"
"10","67","0.1","0.75","458","48.108886754820126"
"4","67","0.1","0.75","467","34.925417003453596"
"1","67","0.1","0.75","632","38.40339233038348"
"9","67","0.1","0.75","539","35.52670513389555"
"13","67","0.1","0.75","300","16.92666839589432"
"14","67","0.1","0.75","195","8.095378274948484"
"19","67","0.1","0.75","80","1.2736737180197144"
"12","67","0.1","0.75","465","25.429350630205644"
"11","67","0.1","0.75","511","45.14715090795241"
"23","67","0.1","0.75","40","0.08195499925495456"
"20","67","0.1","0.75","168","2.50754842035496"
"17","67","0.1","0.75","286","14.719367004362937"
"24","67","0.1","0.75","81","0.9957955299845098"
"15","67","0.1","0.75","417","28.216569983638255"
"25","67","0.1","0.75","94","1.4457920425972488"
"16","67","0.1","0.75","370","36.738906088751285"
"21","67","0.1","0.75","335","24.35945042703305"
"27","67","0.1","0.75","178","3.3805645431217224"
"18","67","0.1","0.75","433","29.03808575747521"
"26","67","0.1","0.75","413","39.2157586041536"
"29","67","0.1","0.75","322","26.29574861367837"
"35","67","0.1","0.75","88","1.0933806146572105"
"34","67","0.1","0.75","102","0.6090808416389812"
"36","67","0.1","0.75","19","0.07411250277921885"
"38","67","0.1","0.75","39","0.23032059140384115"
"30","67","0.1","0.75","354","36.20861477134315"
"40","67","0.1","0.75","25","0.01484230055658627"
"31","67","0.1","0.75","520","49.84626782737544"
"32","67","0.1","0.75","366","14.22164566345441"
"22","67","0.1","0.75","736","42.17601188265874"
"28","67","0.1","0.75","539","58.869927389333235"
"42","67","0.1","0.75","146","4.820391402463837"
"33","67","0.1","0.75","454","32.45854308557892"
"37","67","0.1","0.75","584","32.879885289900365"
"43","67","0.1","0.75","423","34.54200602476849"
"45","67","0.1","0.75","428","45.866134456887316"
"44","67","0.1","0.75","501","55.856852979155136"
"39","67","0.1","0.75","606","40.26716853020407"
"50","67","0.1","0.75","39","0.1399837913504752"
"41","67","0.1","0.75","449","37.10582674839377"
"54","67","0.1","0.75","91","0.6765999926054646"
"53","67","0.1","0.75","199","5.832807688026418"
"46","67","0.1","0.75","686","40.492450810292"
"55","67","0.1","0.75","100","0.8408341667592696"
"47","67","0.1","0.75","543","38.57375592417062"
"51","67","0.1","0.75","434","41.388345573310694"
"48","67","0.1","0.75","534","46.51934924558232"
"49","67","0.1","0.75","602","52.43691287529931"
"62","67","0.1","0.75","40","0.18123982837697886"
"56","67","0.1","0.75","388","27.744095220383112"
"52","67","0.1","0.75","705","49.50436455096908"
"63","67","0.1","0.75","65","0.34765885050669426"
"60","67","0.1","0.75","315","35.35360992174812"
"64","67","0.1","0.75","71","0.24468913357802244"
"66","67","0.1","0.75","59","0.2532853681814845"
"61","67","0.1","0.75","317","32.00413146925376"
"65","67","0.1","0.75","172","6.728717533661982"
"69","67","0.1","0.75","105","2.036764705882353"
"58","67","0.1","0.75","381","29.207170578451304"
"67","67","0.1","0.75","166","3.2923326213449213"
"57","67","0.1","0.75","694","28.519363863937564"
"71","67","0.1","0.75","47","0.263079887357344"
"76","67","0.1","0.75","22","0.011171936096525528"
"59","67","0.1","0.75","522","37.389258537661284"
"73","67","0.1","0.75","130","1.7732461487310207"
"74","67","0.1","0.75","181","2.9520842604954756"
"68","67","0.1","0.75","382","26.30429956338341"
"81","67","0.1","0.75","24","0.014749806408790884"
"70","67","0.1","0.75","426","45.036561045867494"
"72","67","0.1","0.75","342","32.41099428149788"
"77","67","0.1","0.75","370","20.73490813648294"
"82","67","0.1","0.75","70","0.19516146849799315"
"84","67","0.1","0.75","33","0.0591715976331361"
"85","67","0.1","0.75","10","0.007416747014759327"
"75","67","0.1","0.75","511","34.2276692061389"
"80","67","0.1","0.75","402","33.31727026726471"
"86","67","0.1","0.75","330","27.079152731326644"
"87","67","0.1","0.75","377","41.45738835416897"
"83","67","0.1","0.75","424","42.386663201277244"
"78","67","0.1","0.75","580","51.33561770015843"
"89","67","0.1","0.75","359","45.38046511627907"
"88","67","0.1","0.75","515","29.78328632922666"
"96","67","0.1","0.75","5","0.007375719132615431"
"95","67","0.1","0.75","71","0.4216444132115249"
"98","67","0.1","0.75","71","0.6435243068323895"
"90","67","0.1","0.75","492","33.35666396522508"
"97","67","0.1","0.75","280","14.70021492625806"
"93","67","0.1","0.75","414","32.955590713418445"
"92","67","0.1","0.75","518","35.96802841918294"
"94","67","0.1","0.75","424","55.08662816525989"
"91","67","0.1","0.75","611","42.80508006626174"
"99","67","0.1","0.75","531","47.753786896781605"
"100","67","0.1","0.75","523","25.214099312676886"
"79","67","0.1","0.75","1089","58.28279486896755"
