"BehaviorSpace results (NetLogo 6.0.2)"
"fireModel1.nlogo"
"fire-d67-i0.85-e0.1"
"01/10/2020 14:49:37:135 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","density","extinction","ignition","[step]","percent-burned"
"1","67","0.1","0.85","59","0.18372221201543268"
"8","67","0.1","0.85","78","0.5627482712961601"
"10","67","0.1","0.85","2","0.0037145722670034543"
"6","67","0.1","0.85","138","2.06581083075107"
"11","67","0.1","0.85","42","0.11074605928605707"
"12","67","0.1","0.85","19","0.011049316783912194"
"5","67","0.1","0.85","189","5.883224659158269"
"4","67","0.1","0.85","261","7.68889217790276"
"15","67","0.1","0.85","16","0.03329880124315525"
"3","67","0.1","0.85","257","8.763038049067138"
"16","67","0.1","0.85","53","0.07063197026022305"
"17","67","0.1","0.85","46","0.2330398757120663"
"20","67","0.1","0.85","47","0.24857164057282777"
"9","67","0.1","0.85","277","14.400059290002224"
"14","67","0.1","0.85","290","10.525925376455753"
"13","67","0.1","0.85","354","36.673339264531435"
"2","67","0.1","0.85","486","60.08552049542908"
"23","67","0.1","0.85","111","1.0175763182238668"
"24","67","0.1","0.85","111","2.1916694385926005"
"26","67","0.1","0.85","24","0.022322259012612075"
"22","67","0.1","0.85","213","11.283071707568723"
"27","67","0.1","0.85","8","0.007406310176270182"
"19","67","0.1","0.85","428","45.68507308430533"
"25","67","0.1","0.85","165","3.5961935674240193"
"32","67","0.1","0.85","27","0.029348105212957186"
"28","67","0.1","0.85","154","1.744078631341684"
"18","67","0.1","0.85","655","40.29179868837963"
"7","67","0.1","0.85","756","60.125438111049625"
"29","67","0.1","0.85","343","12.58635895928267"
"21","67","0.1","0.85","685","45.84177005485403"
"34","67","0.1","0.85","262","15.061490591198694"
"35","67","0.1","0.85","232","9.532081608515671"
"37","67","0.1","0.85","419","19.570098273767897"
"30","67","0.1","0.85","583","32.471466036272304"
"31","67","0.1","0.85","550","48.548822420231446"
"33","67","0.1","0.85","543","50.844326201825375"
"43","67","0.1","0.85","85","0.8397144231124922"
"36","67","0.1","0.85","388","24.36775650757211"
"38","67","0.1","0.85","637","45.078506887868464"
"41","67","0.1","0.85","341","9.389706154815283"
"48","67","0.1","0.85","2","0.0036844626211267086"
"39","67","0.1","0.85","641","42.96765119549929"
"40","67","0.1","0.85","409","43.482882486621214"
"50","67","0.1","0.85","78","0.5198470164494449"
"42","67","0.1","0.85","438","21.90878128239301"
"49","67","0.1","0.85","285","13.894237890682861"
"54","67","0.1","0.85","48","0.20729224504904684"
"47","67","0.1","0.85","334","25.709645269646746"
"45","67","0.1","0.85","393","38.50331027300454"
"44","67","0.1","0.85","477","46.28150873965041"
"53","67","0.1","0.85","127","2.4555806966133757"
"52","67","0.1","0.85","399","30.034420222806173"
"51","67","0.1","0.85","452","32.847545978488306"
"46","67","0.1","0.85","466","41.260162601626014"
"62","67","0.1","0.85","85","0.2598463194624893"
"63","67","0.1","0.85","2","0.007344300822561692"
"57","67","0.1","0.85","372","15.975587201775475"
"55","67","0.1","0.85","507","41.36412025990236"
"56","67","0.1","0.85","445","33.7325935995885"
"61","67","0.1","0.85","274","12.1562360636242"
"58","67","0.1","0.85","453","37.4870235800089"
"68","67","0.1","0.85","54","0.08102533883323512"
"59","67","0.1","0.85","435","26.55673601888741"
"71","67","0.1","0.85","67","0.5837150879267031"
"60","67","0.1","0.85","531","34.87480178485821"
"69","67","0.1","0.85","148","2.069680476878078"
"65","67","0.1","0.85","256","7.663773276949329"
"64","67","0.1","0.85","341","18.1771198641515"
"66","67","0.1","0.85","478","37.20209547701616"
"77","67","0.1","0.85","42","0.1078106992825012"
"74","67","0.1","0.85","158","2.453446946046204"
"67","67","0.1","0.85","696","26.517794836008374"
"72","67","0.1","0.85","389","22.28727125446445"
"73","67","0.1","0.85","521","37.8490023236086"
"70","67","0.1","0.85","661","52.073291879760106"
"75","67","0.1","0.85","361","20.410355172030663"
"84","67","0.1","0.85","48","0.24330003317727728"
"79","67","0.1","0.85","359","27.586586843941674"
"76","67","0.1","0.85","395","36.690221613822196"
"86","67","0.1","0.85","42","0.04799350241813416"
"83","67","0.1","0.85","133","2.0264773315583167"
"78","67","0.1","0.85","775","51.111605157847926"
"82","67","0.1","0.85","435","54.09648767183872"
"87","67","0.1","0.85","275","22.247315808959645"
"89","67","0.1","0.85","287","11.917175078572749"
"92","67","0.1","0.85","7","0.014680515286086541"
"80","67","0.1","0.85","627","36.01997410763825"
"85","67","0.1","0.85","397","35.838428756716695"
"81","67","0.1","0.85","501","30.19697697623711"
"97","67","0.1","0.85","46","0.04061738424045491"
"91","67","0.1","0.85","273","22.791970128285705"
"88","67","0.1","0.85","501","45.18081180811808"
"96","67","0.1","0.85","334","28.880812875472817"
"90","67","0.1","0.85","589","48.92017746489202"
"99","67","0.1","0.85","293","7.96430563301729"
"94","67","0.1","0.85","358","11.493408732053025"
"95","67","0.1","0.85","533","35.97676053732006"
"98","67","0.1","0.85","402","25.297707651086633"
"100","67","0.1","0.85","387","32.999112031966845"
"93","67","0.1","0.85","738","46.524103468547914"
