"BehaviorSpace results (NetLogo 6.0.2)"
"fireModel1.nlogo"
"fireModel-d"
"01/10/2020 14:53:15:114 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","density","extinction","ignition","[step]","percent-burned"
"1","50","0.05","0.85","35","0.019790223629527013"
"8","50","0.05","0.85","73","0.2665876777251185"
"7","50","0.05","0.85","77","0.20136535533618194"
"4","50","0.05","0.85","67","0.08385537414294875"
"9","50","0.05","0.85","6","0.014964832643288274"
"5","50","0.05","0.85","89","0.14395631670389675"
"6","50","0.05","0.85","85","0.08443009684628756"
"10","50","0.05","0.85","17","0.019773592367393348"
"3","50","0.05","0.85","104","0.18917707970329067"
"2","50","0.05","0.85","103","0.1683918577584072"
"13","50","0.05","0.85","24","0.01977848101265823"
"15","50","0.05","0.85","25","0.03460720818707668"
"17","50","0.05","0.85","1","0.004960809604127394"
"21","50","0.05","0.85","14","0.014763052999360269"
"11","50","0.05","0.85","55","0.12911555842479017"
"14","50","0.05","0.85","48","0.08405438813349815"
"12","50","0.05","0.85","87","0.26266230548121716"
"25","50","0.05","0.85","18","0.03457302316392552"
"19","50","0.05","0.85","92","0.10863661053775121"
"20","50","0.05","0.85","99","0.23255813953488372"
"22","50","0.05","0.85","84","0.32658716413479144"
"23","50","0.05","0.85","84","0.16803400217455766"
"26","50","0.05","0.85","38","0.024759829652371994"
"16","50","0.05","0.85","142","0.7093605833622699"
"18","50","0.05","0.85","137","0.2130400317082838"
"27","50","0.05","0.85","52","0.03477742448330683"
"29","50","0.05","0.85","70","0.2403846153846154"
"34","51","0.05","0.85","38","0.02913469942701758"
"31","51","0.05","0.85","69","0.063165055147952"
"33","51","0.05","0.85","50","0.048628671464695586"
"32","51","0.05","0.85","69","0.05311700226954464"
"35","51","0.05","0.85","30","0.02898130705694827"
"30","50","0.05","0.85","126","0.07909436946957339"
"28","50","0.05","0.85","123","0.2970149992574625"
"24","50","0.05","0.85","145","0.517464424320828"
"40","51","0.05","0.85","26","0.05330748727889508"
"42","51","0.05","0.85","40","0.009715812484819043"
"38","51","0.05","0.85","74","0.27641724455652006"
"37","51","0.05","0.85","91","0.3189022033243139"
"44","51","0.05","0.85","42","0.019485580670303974"
"45","51","0.05","0.85","10","0.009709680551509855"
"43","51","0.05","0.85","44","0.03914851969659897"
"36","51","0.05","0.85","118","0.024120796951131267"
"41","51","0.05","0.85","87","0.17983863128220084"
"39","51","0.05","0.85","138","0.5997871722937022"
"51","51","0.05","0.85","38","0.053548826793885694"
"47","51","0.05","0.85","73","0.27333073018352205"
"49","51","0.05","0.85","54","0.03851894650681304"
"46","51","0.05","0.85","92","0.2047082906857728"
"50","51","0.05","0.85","67","0.21233471672618473"
"52","51","0.05","0.85","87","0.18931119848551042"
"54","51","0.05","0.85","66","0.024161592732192906"
"48","51","0.05","0.85","128","0.28381758706946314"
"57","51","0.05","0.85","44","0.02416276035374281"
"58","51","0.05","0.85","39","0.004829051574270813"
"53","51","0.05","0.85","97","0.20433978787583926"
"55","51","0.05","0.85","89","0.2657872717428754"
"65","52","0.05","0.85","2","0.0047314880529926665"
"56","51","0.05","0.85","100","0.0875571553653079"
"59","51","0.05","0.85","83","0.15523430678179878"
"60","51","0.05","0.85","111","0.6489387655525738"
"62","52","0.05","0.85","103","0.4698177676537585"
"68","52","0.05","0.85","41","0.02384131222582491"
"61","52","0.05","0.85","121","0.20424642568755047"
"67","52","0.05","0.85","86","0.11039646731304598"
"64","52","0.05","0.85","118","0.31536697247706424"
"63","52","0.05","0.85","108","0.41910749154641136"
"66","52","0.05","0.85","145","1.0718879519794198"
"71","52","0.05","0.85","70","0.028518465706544985"
"69","52","0.05","0.85","108","0.43515684774292274"
"70","52","0.05","0.85","103","0.20504506222879215"
"74","52","0.05","0.85","89","0.11948002294016441"
"72","52","0.05","0.85","135","0.7120816520294327"
"76","52","0.05","0.85","98","0.3919319376732626"
"73","52","0.05","0.85","148","1.074088218445675"
"77","52","0.05","0.85","101","0.19479285442797414"
"80","52","0.05","0.85","62","0.15686647335646717"
"81","52","0.05","0.85","46","0.09110088224012275"
"78","52","0.05","0.85","87","0.3880738286796025"
"84","52","0.05","0.85","34","0.0047659898961014205"
"75","52","0.05","0.85","158","0.7748641625324829"
"79","52","0.05","0.85","120","0.9949544961569292"
"83","52","0.05","0.85","78","0.2273696177348302"
"82","52","0.05","0.85","93","0.5360785616015941"
"87","52","0.05","0.85","73","0.14701000616493576"
"88","52","0.05","0.85","63","0.20017157563625965"
"86","52","0.05","0.85","109","0.43156596794081376"
"89","52","0.05","0.85","67","0.11455847255369928"
"85","52","0.05","0.85","110","0.48143381476714814"
"92","53","0.05","0.85","54","0.009290658243136525"
"93","53","0.05","0.85","67","0.12135355892648775"
"94","53","0.05","0.85","55","0.05116517047304526"
"96","53","0.05","0.85","34","0.02333613366937366"
"98","53","0.05","0.85","22","0.014043628873700965"
"90","52","0.05","0.85","125","0.7354336686278231"
"91","53","0.05","0.85","135","0.636584909193035"
"100","53","0.05","0.85","57","0.08494572911750826"
"103","53","0.05","0.85","32","0.0046999107016966685"
"102","53","0.05","0.85","63","0.12247974373469003"
"99","53","0.05","0.85","76","0.15844167948180252"
"95","53","0.05","0.85","125","0.27508392390898917"
"97","53","0.05","0.85","131","0.6072212620860387"
"105","53","0.05","0.85","85","0.16640473329019137"
"101","53","0.05","0.85","147","0.7593757279291871"
"104","53","0.05","0.85","106","0.237088001487611"
"110","53","0.05","0.85","88","0.11728279226871834"
"106","53","0.05","0.85","119","0.5536786786786787"
"108","53","0.05","0.85","118","0.08944122769853599"
"111","53","0.05","0.85","51","0.11712344811431248"
"107","53","0.05","0.85","137","1.0998307952622675"
"112","53","0.05","0.85","45","0.00466788031554871"
"109","53","0.05","0.85","130","0.489670288672294"
"114","53","0.05","0.85","38","0.018672392867145924"
"121","54","0.05","0.85","9","0.004596855750666544"
"117","53","0.05","0.85","55","0.018728345350688267"
"118","53","0.05","0.85","52","0.004666573335199963"
"115","53","0.05","0.85","79","0.23776223776223776"
"125","54","0.05","0.85","7","0.013761467889908258"
"122","54","0.05","0.85","47","0.08295313148071339"
"119","53","0.05","0.85","73","0.33003300330033003"
"120","53","0.05","0.85","88","0.34147254186546916"
"113","53","0.05","0.85","155","0.8524590163934427"
