"BehaviorSpace results (NetLogo 6.0.2)"
"fireModel1.nlogo"
"fireModel-ie"
"01/10/2020 15:10:53:045 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","density","extinction","ignition","[step]","percent-burned"
"3","70","0.05","0.4","375","92.54911695864955"
"8","70","0.05","0.4","384","94.5484737139627"
"2","70","0.05","0.4","388","95.32634688423126"
"6","70","0.05","0.4","379","94.88038952790912"
"5","70","0.05","0.4","421","94.9294876337609"
"7","70","0.05","0.4","436","94.90107084603929"
"4","70","0.05","0.4","442","94.67255075022065"
"1","70","0.05","0.4","406","95.58823529411765"
"11","70","0.05","0.45","364","95.3220314938289"
"10","70","0.05","0.4","411","95.34184557705231"
"9","70","0.05","0.4","418","95.44478473615658"
"12","70","0.05","0.45","383","95.17605633802818"
"14","70","0.05","0.45","371","95.32071503680336"
"13","70","0.05","0.45","439","95.31376056683854"
"15","70","0.05","0.45","515","94.76497239133512"
"16","70","0.05","0.45","436","93.98298145049311"
"17","70","0.05","0.45","407","94.34089060234146"
"18","70","0.05","0.45","396","95.11919077597794"
"20","70","0.05","0.45","397","94.46898745361372"
"19","70","0.05","0.45","382","94.81795687522091"
"26","70","0.05","0.5","1","0.007100003550001776"
"21","70","0.05","0.5","423","94.52557319223985"
"22","70","0.05","0.5","406","93.78093621835667"
"23","70","0.05","0.5","382","94.10267288926602"
"25","70","0.05","0.5","437","93.87899100370436"
"28","70","0.05","0.5","381","94.62586237396073"
"27","70","0.05","0.5","420","93.45330877143262"
"33","70","0.05","0.55","62","0.017729867735186696"
"29","70","0.05","0.5","460","94.10808901448252"
"35","70","0.05","0.55","28","0.014181379848259235"
"31","70","0.05","0.55","414","95.03927535206283"
"24","70","0.05","0.5","413","95.3279615493356"
"30","70","0.05","0.5","423","93.29600969939023"
"32","70","0.05","0.55","368","94.02958600872681"
"36","70","0.05","0.55","398","94.6293094322312"
"38","70","0.05","0.55","409","94.71218206157965"
"34","70","0.05","0.55","461","95.2468329863439"
"41","70","0.05","0.6","396","93.53448275862068"
"37","70","0.05","0.55","428","94.87051969734645"
"39","70","0.05","0.55","436","94.65470978675329"
"46","70","0.05","0.6","79","0.007042501496531568"
"42","70","0.05","0.6","451","94.05061943133009"
"40","70","0.05","0.55","396","94.95608620507213"
"43","70","0.05","0.6","395","95.03328754094896"
"45","70","0.05","0.6","416","94.9134581419993"
"48","70","0.05","0.6","394","93.80747789653091"
"47","70","0.05","0.6","395","94.56640473589626"
"44","70","0.05","0.6","468","95.11067179722527"
"49","70","0.05","0.6","390","94.29098258926989"
"50","70","0.05","0.6","402","94.6949790497834"
"51","70","0.05","0.65","403","95.32153433930334"
"53","70","0.05","0.65","378","94.05570773007008"
"52","70","0.05","0.65","419","95.10358481227462"
"54","70","0.05","0.65","406","94.44681759931653"
"56","70","0.05","0.65","385","94.95074764368223"
"55","70","0.05","0.65","452","95.04384563496289"
"57","70","0.05","0.65","404","95.95064852894653"
"65","70","0.05","0.7","1","0.007071635669330316"
"58","70","0.05","0.65","445","95.15702654118641"
"60","70","0.05","0.65","407","95.17700839859668"
"68","70","0.05","0.7","2","0.007066888095827003"
"62","70","0.05","0.7","372","94.93639575971731"
"61","70","0.05","0.7","384","95.1913571529445"
"59","70","0.05","0.65","440","94.77798514032185"
"63","70","0.05","0.7","396","94.2995066198133"
"64","70","0.05","0.7","380","94.66911764705883"
"66","70","0.05","0.7","418","94.33521923620933"
"67","70","0.05","0.7","400","94.82381187769225"
"71","70","0.05","0.75","370","95.2616963689409"
"69","70","0.05","0.7","416","95.08075322660272"
"70","70","0.05","0.7","427","95.19966015293117"
"73","70","0.05","0.75","410","93.20202628502604"
"72","70","0.05","0.75","378","95.49378148891942"
"74","70","0.05","0.75","430","94.74576870075262"
"76","70","0.05","0.75","381","94.77209433496668"
"81","70","0.05","0.8","32","0.01772735330615139"
"75","70","0.05","0.75","407","93.42941924544299"
"78","70","0.05","0.75","369","94.69809584483613"
"77","70","0.05","0.75","425","94.70419339973769"
"80","70","0.05","0.75","388","95.17978482446206"
"79","70","0.05","0.75","436","94.51521585279548"
"88","70","0.05","0.8","44","0.014128783864928825"
"82","70","0.05","0.8","392","94.95741899007032"
"83","70","0.05","0.8","379","94.57597173144876"
"85","70","0.05","0.8","392","95.18416596104996"
"84","70","0.05","0.8","390","94.83064058956916"
"86","70","0.05","0.8","391","93.6379675370501"
"87","70","0.05","0.8","443","94.34558692949743"
"89","70","0.05","0.8","372","95.20913623024431"
"90","70","0.05","0.8","411","94.66063987569744"
"91","70","0.05","0.85","427","94.67991403304795"
"92","70","0.05","0.85","436","95.37105849877906"
"93","70","0.05","0.85","408","94.54925140693024"
"94","70","0.05","0.85","401","94.03959487595723"
"95","70","0.05","0.85","391","95.02067356963636"
"96","70","0.05","0.85","382","94.86769667909785"
"97","70","0.05","0.85","402","94.61699189007331"
"99","70","0.05","0.85","370","94.15796576461396"
"98","70","0.05","0.85","399","95.50494137650101"
"101","70","0.05","0.9","359","94.08307071279346"
"100","70","0.05","0.85","421","94.41546922121697"
"102","70","0.05","0.9","377","94.4334766974547"
"104","70","0.05","0.9","393","94.76629593129664"
"105","70","0.05","0.9","396","95.03342884431709"
"103","70","0.05","0.9","462","93.93072767715284"
"107","70","0.05","0.9","373","94.61725437700356"
"106","70","0.05","0.9","398","94.29306637526878"
"108","70","0.05","0.9","383","93.97981508927941"
"109","70","0.05","0.9","394","95.50315908368925"
"113","70","0.05","0.95","394","94.29996815624668"
"111","70","0.05","0.95","400","94.80340063761955"
"112","70","0.05","0.95","468","95.2157664645325"
"110","70","0.05","0.9","394","94.72016895459345"
"115","70","0.05","0.95","405","95.50079211406442"
"114","70","0.05","0.95","472","95.79214016817367"
"116","70","0.05","0.95","408","93.72515616127201"
"117","70","0.05","0.95","359","95.05642699978706"
"119","70","0.05","0.95","374","93.38389028668628"
"118","70","0.05","0.95","417","95.00811974864082"
"122","70","0.05","1","385","95.33946251768035"
"120","70","0.05","0.95","425","95.86014282684013"
"123","70","0.05","1","396","92.32109211134416"
"125","70","0.05","1","416","94.69611307420494"
"124","70","0.05","1","444","95.48010610079575"
"121","70","0.05","1","422","93.71705522340538"
"126","70","0.05","1","431","95.62303812647691"
"127","70","0.05","1","459","95.04569674300434"
"128","70","0.05","1","398","95.91367415531576"
"129","70","0.05","1","408","94.45584489102745"
"130","70","0.05","1","395","94.8335043702891"
"131","70","0.06","0.4","359","93.96903589021815"
"132","70","0.06","0.4","370","93.86259866208898"
"139","70","0.06","0.4","71","0.34631422715386245"
"133","70","0.06","0.4","387","91.60635731516957"
"134","70","0.06","0.4","415","92.5630998933523"
"135","70","0.06","0.4","364","93.41141502423835"
"138","70","0.06","0.4","360","91.15497334133681"
"136","70","0.06","0.4","371","92.4802717718249"
"137","70","0.06","0.4","386","94.36764133932044"
"140","70","0.06","0.4","402","92.16053748231965"
