gbifid,species,latitude,longitude
1899816923,Pinus edulis,38.866005,-104.896667
1899815588,Pinus edulis,38.875486,-104.883196
1899814059,Pinus edulis,38.722775,-104.83934
1899813968,Pinus edulis,38.864713,-104.897199
1899812645,Pinus edulis,38.908459,-104.855046
1899777590,Pinus edulis,36.057804,-112.135666
1899769978,Pinus edulis,33.016408,-105.858488
1899769941,Pinus edulis,33.012119,-105.862205
1899758798,Pinus edulis,37.007539,-104.479605
1899756441,Pinus edulis,37.142995,-104.571188
1899748813,Pinus edulis,37.275273,-107.892314
1898817370,Pinus edulis,32.983697,-105.821617
1898798821,Pinus edulis,37.008114,-104.479753
1896078455,Pinus edulis,34.914167,-111.726667
1891297275,Pinus edulis,37.180938,-104.513472
1890698863,Pinus edulis,37.183108,-104.515183
1890698577,Pinus edulis,37.184475,-104.516463
1890672956,Pinus edulis,37.764442,-113.189022
1890041792,Pinus edulis,38.797276,-109.622449
1890039269,Pinus edulis,38.292221,-111.249725
1883935631,Pinus edulis,36.528372,-105.548713
1883923915,Pinus edulis,35.60733,-105.211808
1883923724,Pinus edulis,35.517113,-105.245413
1883912483,Pinus edulis,32.93567,-105.837495
1883910876,Pinus edulis,34.85333,-111.789782
1883909565,Pinus edulis,36.839636,-103.024666
1883571972,Pinus edulis,33.793336,-110.497039
1883570074,Pinus edulis,37.08462,-106.416454
1883536739,Pinus edulis,36.195681,-112.050852
1883517859,Pinus edulis,36.066389,-112.146111
1883498413,Pinus edulis,32.735828,-105.47103
1883498188,Pinus edulis,32.736263,-105.470863
1883483427,Pinus edulis,32.737748,-105.470947
1883482886,Pinus edulis,34.851987,-111.780862
1883482820,Pinus edulis,32.740343,-105.469471
1883481811,Pinus edulis,32.741789,-105.468155
1883481785,Pinus edulis,32.741813,-105.468417
1883474405,Pinus edulis,32.938483,-105.893097
1883474357,Pinus edulis,32.937997,-105.89138
1883474306,Pinus edulis,32.938172,-105.890817
1883474297,Pinus edulis,32.94038,-105.89363
1883473871,Pinus edulis,32.929547,-105.885222
1883463173,Pinus edulis,40.294947,-108.967622
1880650753,Pinus edulis,32.735488,-105.471122
1880646663,Pinus edulis,32.953042,-105.890808
1880630601,Pinus edulis,36.064942,-112.115766
1880630521,Pinus edulis,36.06244,-112.110366
1880555801,Pinus edulis,35.039234,-111.993141
1880545336,Pinus edulis,37.383762,-109.072602
1880502383,Pinus edulis,35.011871,-112.015778
1880474077,Pinus edulis,32.28466,-106.583137
1851591205,Pinus edulis,37.6703,-106.600717
1850983463,Pinus edulis,35.690294,-105.888138
1850980454,Pinus edulis,35.000378,-106.30107
1850928894,Pinus edulis,36.195408,-112.050728
1850927392,Pinus edulis,40.060276,-109.151665
1848817410,Pinus edulis,35.13422,-106.468012
1848779150,Pinus edulis,35.36212,-111.514663
1848778969,Pinus edulis,36.065762,-112.136053
1848778093,Pinus edulis,36.06225,-112.139922
1848777424,Pinus edulis,36.05912,-112.1432
1848777200,Pinus edulis,36.073947,-112.12957
1848776328,Pinus edulis,36.070208,-112.16655
