"BehaviorSpace results (NetLogo 6.0.2)"
"fireModel1.nlogo"
"fire-d67-i0.75-e0.1"
"01/10/2020 14:41:50:718 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","density","extinction","ignition","[step]","percent-burned"
"2","67","0.1","0.75","49","0.4163903014223598"
"5","67","0.1","0.75","75","0.4128271286398821"
"8","67","0.1","0.75","61","0.09939991900747339"
"9","67","0.1","0.75","35","0.022114108801415303"
"7","67","0.1","0.75","365","48.84640982030615"
"6","67","0.1","0.75","483","35.29390140793295"
"4","67","0.1","0.75","428","17.31839430140239"
"12","67","0.1","0.75","481","14.157560543414057"
"1","67","0.1","0.75","491","37.582952366907534"
"11","67","0.1","0.75","363","37.25258493353028"
"14","67","0.1","0.75","182","3.315425375331175"
"3","67","0.1","0.75","649","27.024520532700226"
"15","67","0.1","0.75","341","22.027881522020486"
"18","67","0.1","0.75","129","1.5797317436661698"
"21","67","0.1","0.75","16","0.018410781353560644"
"17","67","0.1","0.75","309","27.423445943462117"
"24","67","0.1","0.75","15","0.007386615452799527"
"10","67","0.1","0.75","765","51.21960206337509"
"26","67","0.1","0.75","11","0.007430248541813724"
"19","67","0.1","0.75","430","44.80109841175597"
"27","67","0.1","0.75","106","0.942423796200854"
"13","67","0.1","0.75","602","29.372023479898107"
"16","67","0.1","0.75","766","39.69884397319785"
"22","67","0.1","0.75","361","19.42543956448172"
"28","67","0.1","0.75","355","21.636949994439707"
"25","67","0.1","0.75","419","46.31319449554787"
"32","67","0.1","0.75","49","0.3709061236601016"
"20","67","0.1","0.75","940","60.35735250953918"
"31","67","0.1","0.75","370","25.428053696239044"
"23","67","0.1","0.75","845","61.98530226374681"
"29","67","0.1","0.75","385","12.540369935408101"
"36","67","0.1","0.75","171","5.777217442895283"
"30","67","0.1","0.75","498","37.13353841592232"
"34","67","0.1","0.75","431","51.52736063292066"
"33","67","0.1","0.75","542","51.04851214649635"
"38","67","0.1","0.75","291","10.134711201328658"
"37","67","0.1","0.75","457","23.067557097000332"
"44","67","0.1","0.75","111","0.7973471440813741"
"43","67","0.1","0.75","162","2.428539936806525"
"40","67","0.1","0.75","375","40.55545337502299"
"47","67","0.1","0.75","81","0.5542213190467393"
"48","67","0.1","0.75","81","0.9272546638701843"
"41","67","0.1","0.75","368","13.726505845789552"
"50","67","0.1","0.75","53","0.12878536998197004"
"35","67","0.1","0.75","727","52.46137925936877"
"45","67","0.1","0.75","607","46.293500276192226"
"53","67","0.1","0.75","12","0.007367567965814484"
"39","67","0.1","0.75","636","52.210402326351826"
"55","67","0.1","0.75","36","0.06255519576096555"
"54","67","0.1","0.75","90","0.43682795698924726"
"46","67","0.1","0.75","513","28.937226710146003"
"42","67","0.1","0.75","706","53.13640889478924"
"49","67","0.1","0.75","501","38.97329222540024"
"52","67","0.1","0.75","389","24.232812038949543"
"61","67","0.1","0.75","103","0.9173635928231956"
"57","67","0.1","0.75","153","3.136702384042119"
"51","67","0.1","0.75","508","23.21665438467207"
"63","67","0.1","0.75","183","4.559214412285883"
"58","67","0.1","0.75","423","26.372487320919557"
"59","67","0.1","0.75","484","54.565561986213"
"56","67","0.1","0.75","531","55.146020658393404"
"67","67","0.1","0.75","325","31.04666568526424"
"68","67","0.1","0.75","123","1.839495705385778"
"62","67","0.1","0.75","649","39.141022802745184"
"71","67","0.1","0.75","64","0.6815319653307652"
"69","67","0.1","0.75","120","1.2857195942179778"
"65","67","0.1","0.75","432","20.869597422317693"
"64","67","0.1","0.75","375","21.416222181350008"
"72","67","0.1","0.75","80","0.949811516002661"
"60","67","0.1","0.75","780","54.58876537282564"
"66","67","0.1","0.75","614","38.18671189440307"
"75","67","0.1","0.75","218","4.975566414926699"
"70","67","0.1","0.75","532","48.69702650053295"
"76","67","0.1","0.75","240","11.058580187633893"
"78","67","0.1","0.75","388","27.534464279114463"
"73","67","0.1","0.75","473","14.044716195808318"
"77","67","0.1","0.75","646","44.04377203290247"
"82","67","0.1","0.75","193","9.051867757580245"
"85","67","0.1","0.75","34","0.07351589781290203"
"79","67","0.1","0.75","647","31.832252358490564"
"81","67","0.1","0.75","429","24.20202917870103"
"86","67","0.1","0.75","64","0.5084371085402697"
"90","67","0.1","0.75","20","0.05522624351091639"
"84","67","0.1","0.75","268","10.336128218446241"
"92","67","0.1","0.75","16","0.03682427456179113"
"74","67","0.1","0.75","668","30.175309097619486"
"80","67","0.1","0.75","509","47.464353961487575"
"89","67","0.1","0.75","217","6.338814076333605"
"93","67","0.1","0.75","176","4.603157081355558"
"83","67","0.1","0.75","610","55.85312696243212"
"96","67","0.1","0.75","219","7.525538325861689"
"87","67","0.1","0.75","458","26.8157450246016"
"88","67","0.1","0.75","456","22.151102560307827"
"100","67","0.1","0.75","140","3.634613961062995"
"94","67","0.1","0.75","401","19.494624847611657"
"97","67","0.1","0.75","410","43.765752409192"
"99","67","0.1","0.75","333","23.150366793231836"
"98","67","0.1","0.75","492","25.35049328684816"
"95","67","0.1","0.75","640","48.859645880309024"
"91","67","0.1","0.75","656","32.93882683630446"
